title,year,director,runtime,cast
Into the Woods,2014,Rob Marshall,125,"['James Corden', 'Emily Blunt', 'Meryl Streep', 'Anna Kendrick', 'Daniel Huttlestone', 'Lilla Crawford', 'Mackenzie Mauzy', 'Tracey Ullman', 'Chris Pine', 'Billy Magnussen', 'Richard Glover', 'Frances de la Tour', 'Christine Baranski', 'Tammy Blanchard', 'Lucy Punch', 'Simon Russell Beale', 'Joanna Riding', 'Annette Crosbie', 'Johnny Depp', 'Andy Hayes', 'Scott Plumridge']"
The Wicker Man,1973,Robin Hardy,94,"['Edward Woodward', 'Christopher Lee', 'Britt Ekland', 'Ingrid Pitt', 'Diane Cilento', 'Lindsay Kemp', 'Aubrey Morris', 'Russell Waters', 'Irene Sunters', 'Roy Boyd', 'Ian Campbell', 'Walter Carr', 'John Hallam', 'Barbara Rafferty', 'Tony Roper', 'John Sharp', 'Donald Eccles', 'Robin Hardy', 'Gerry Cowper', 'Jennifer Martin', 'Richard Wren', 'Fiona Kennedy', 'Lesley Mackie', 'Myra Forsyth', 'Penny Cluer', 'Peter Brewis', 'Leslie Blackater', 'Juliet Cadzow', 'Helen Norman', 'Lorraine Peters', 'Ross Campbell', 'Ian Wilson', 'Alison Hughes', 'Charles Kearney', 'John McGregor', 'Jimmy Mackenzie', 'John Young', 'Kevin Collins', 'Elizabeth Sinclair', 'Muriel Greenslade', 'Gerry Cowper', 'Andrew Tompkins', 'Bernard Murray', 'John MacGregor', 'Annie Ross', 'George Oliver', 'Fred Wood']"
Pitch Perfect 2,2015,Elizabeth Banks,115,"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Hailee Steinfeld', 'Skylar Astin', 'Ben Platt', 'Ester Dean', 'Hana Mae Lee', 'Alexis Knapp', 'Chrissie Fit', 'Adam Devine', 'Birgitte Hjort Sørensen', 'Flula Borg', 'Anna Camp', 'Katey Sagal', 'Kelley Jakle', 'Shelley Regner', 'John Hodgman', 'Jason Jones', 'Joe Lo Truglio', 'Reggie Watts', 'John Michael Higgins', 'Elizabeth Banks', 'Snoop Dogg', 'David Cross', 'Keegan-Michael Key', 'Shawn Carter Peterson', 'Clay Matthews', 'David Bakhtiari', 'Donny Barclay', 'Josh Sitton', 'Thomas J. Lang', 'Jordan Rodgers', 'Gralen Bryant Banks', 'Sharon Garrison', 'Brea Grant', 'Austin Lyon', 'Kay Cannon', 'Natalie Morales', 'Jake Tapper', 'Sylvia Weatherspoon', 'Robert W. Krieger III', 'Joe Scarborough', 'Mika Brzezinski', 'Jimmy Kimmel', ""Rosie O'Donnell"", 'Nicolle Wallace', 'Rosie Perez', 'Adam Levine', 'Christina Aguilera', 'Pharrell Williams', 'Blake Shelton', 'Codie L. Wiggins', 'Blake Burt', 'Ted Moock', 'Jerry Clark', 'Phi Vu', 'Jacinto Rodriguez', 'Ryan Leeper', 'Andrew Fitzpatrick', 'Allie Feder', 'Steven Ban', 'Brandon Lara', 'Daniel Piglavento', 'Brent L. Boxberger', 'Dylan Cheek', 'Dakota Scott Smith', 'Jeremy Williams', 'Samantha Smith', 'Alexis Lawson', 'Jordyn McDempsey', 'Monica Malone', 'Kimberly Madsen-Thomas', 'Frances Manzo', 'Cali De La Rosa', 'Mitch Grassi', 'Kevin Olusola', 'Avi Kaplan', 'Scott Hoying', 'Kirstin Maldonado', 'Trace Gaynor', 'Dominic Tibayan', 'Barry Fortgang', 'Julian Cruz', 'Virgil Rosales', 'Joseph Caigoy', 'Pranay Sharma', 'Kashish Hora', 'Hariharan Ravi', 'Prashant Ramesh', 'Aneesh Kanakamedala', 'Chetan Khanna', 'Akiff Premjee', 'Varshil Patel', 'Rohan Murthy', 'Dilip Rajan', 'Praveen Rajaguru', 'Gigi Zumbado', 'Marisela Zumbado', 'Alison Sahonic', 'Jasmine Paul-Olivier', 'Natalie Legendre', 'Samantha Yonack', 'Windy Diaz', 'Amaris Flores', 'Aakomon Jones', 'Kyndra Reevey', 'Naomi James', 'Britney Chelene Thomas', 'Michael Odokara-Okigbo', 'Brian Watson', 'Shanna Marie Burris', ""Brianna O'Rourke"", 'Lindsey Legros', 'Brandon Addison', 'Robin Roberts', 'Kether Donohue', 'Lana', 'Sope Aluko', 'Leticia Jimenez', 'Anton Narinskiy', 'Deke Sharon']"
The Hunchback of Notre Dame,1996,Kirk Wise,91,"['Tom Hulce', 'Demi Moore', 'Heidi Mollenhauer', 'Tony Jay', 'Kevin Kline', 'Charles Kimbrough', 'Mary Wickes', 'Jane Withers', 'Jason Alexander', 'Paul Kandel', 'Mary Kay Bergman', 'David Ogden Stiers', 'Gary Trousdale', 'Corey Burton', 'Bill Fagerbakke', 'Jim Cummings', 'Patrick Pinney', 'Frank Welker', 'Jack Angel', 'Joan Barber', 'Scott Barnes', 'Bob Bergen', 'Susan Blu', 'Maureen Brennan', 'Rodger Bumpass', 'Victoria Clark', 'Philip L. Clarke', 'Jennifer Darling', 'Debi Derryberry', 'Jonathan Dokuchitz', 'Bill Farmer', 'Laurie Faso', 'Merwin Foard', 'Dana Hill', 'Judy Kaye', 'Eddie Korbich', 'Alix Korey', 'Michael Lindsay', 'Sherry Lynn', 'Mona Marshall', 'Howard McGillin', 'Mickie McGowan', 'Anna McNeely', 'Bruce Moore', 'Denise Pickering', 'Phil Proctor', 'Jan Rabson', 'Peter Samuel', 'Kath Soucie', 'Gordon Stanley', 'Mary Stout', 'Marcelo Tubert', 'Frank Stancati']"
The Blind Side,2009,John Lee Hancock,129,"['Sandra Bullock', 'Tim McGraw', 'Quinton Aaron', 'Jae Head', 'Lily Collins', 'Ray McKinnon', 'Kim Dickens', 'Adriane Lenox', 'Kathy Bates', 'Catherine Dyer', 'Andy Stahl', 'Tom Nowicki', 'Libby Whittemore', 'Brian Hollan', 'Melody Weintraub', 'Sharon Conley', 'Omar Dorsey', 'Paul Amadi', 'Irone Singleton', 'Hampton Fluker', 'Rhoda Griffis', 'Eaddy Mays', 'Ashley LeConte Campbell', 'Stacey Turner', 'Elizabeth Omilami', 'Afemo Omilami', 'Maria Howell', 'Patrick G. Keenan', 'Eric Benson', 'David Dwyer', 'Catherine Combs', 'Kelly Johns', 'Robert Pralgo', 'Whitney Branan', 'Brian Sutherin', 'Rachel St. Gelais', 'Brandon Rivers', 'Jody Thompson', 'James Donadio', 'L. Warren Young', 'Brett Rice', 'Kevin Nichols', 'Preston Wigasi Brant', 'Matthew Atkinson', 'Trey Best', 'Omid Soltani', 'Destiny Long', 'April Rich', 'Jaye Tyroff', 'Ben Keen', 'John Newberg', 'John Henry Hancock', 'Joe Chrest', 'Michael Fisher', 'Lamont Koonce', 'Phillip Fulmer', 'Lou Holtz', 'Tom Lemming', 'Houston Nutt', 'Ed Orgeron', 'Franklin ""Pepper"" Rodgers', 'Nick Saban', 'Tommy Tuberville']"
Peter Pan,1953,Clyde Geronimi,77,"['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried', 'Bill Thompson', 'Heather Angel', 'Paul Collins', 'Tommy Luske', 'Candy Candido', 'Tom Conway', 'June Foray', 'Margaret Kerry', 'Jeffrey Silver', 'Tony Butala', 'Carol Coombs', 'Karen Kester']"
Ace Ventura: Pet Detective,1994,Tom Shadyac,86,"['Jim Carrey', 'Courteney Cox', 'Sean Young', 'Tone Loc', 'Dan Marino', 'Noble Willingham', 'Troy Evans', 'Raynor Scheine', 'Udo Kier', 'Frank Adonis', 'Tiny Ron', 'David Margulies', 'John Capodice', 'Judy Clayton', 'Bill Zuckert', 'Alice Drummond', 'Rebecca Ferratti', 'Mark Margolis', 'Antoni Corone', 'Margo Peace', ""Randall 'Tex' Cobb"", 'Henry Landivar', 'Florence Mistrot', 'Robert Ferrell', 'Will Knickerbocker', 'Gary Munch', 'Terry Miller', 'John Archie', 'Cristina Karman', 'Tom Wahl', 'Herbert Goldstein', 'Chaz Mena', 'Manuel L. García', 'Don Shula', 'Scott Mitchell', 'Peter Stoyanovich', 'Dwight Stephenson', 'Jeff Uhlenhake', 'Jeff Dellenbach', 'Marco Coleman', 'Kim Bokamper', 'Jeff Cross', 'Chris Barnes', 'Alex Webster', 'Paul Mazurkiewicz, Jr.', 'Jack Owen', 'Robert Barrett', 'Bubba Baker', 'Nick Bass', 'Ray Buffer', 'Vince Cecere', 'Robert Deacon', 'Greg Finley', 'Cassidy McMillan', 'Bill Pearlman', 'Dominic Jack Pizzo, Sr.', 'Jimmy Star', 'Laird Stuart']"
The Parent Trap,1998,Nancy Meyers,128,"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson', 'Elaine Hendrix', 'Lisa Ann Walter', 'Simon Kunz', 'Ronnie Stevens', 'Michael Lohan Jr.', 'Kat Graham', 'Lisa Cloud', 'Maggie Emma Thomas', 'Polly Holliday', 'Maggie Wheeler', 'Joanna Barnes', 'Lisa Iverson', 'Vendela Kirsebom', 'David Doty', 'Chéri Ballinger', 'Andrew Blackall', 'Greg Bronson', 'Jane Doole', 'Casey Floresca', 'Beau Holden', 'Aliana Lohan', 'Dina Lohan', 'Erin Mackey', 'Hallie Meyers-Shyer', 'Courtney Woods', 'John Atterbury', 'Hamish McColl', 'Alex Cole', 'J. Patrick McCormack', 'Natasha Melnick']"
Enchanted,2007,Kevin Lima,107,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Rachel Covey', 'Susan Sarandon', 'Julie Andrews', 'Jeff Bennett', 'Kevin Lima', 'Emma Rose Lima', 'Teala Dunn', 'Fred Tatasciore', 'Courtney Williams', 'William Huntley', 'Samantha Ivers', 'Elizabeth Mathis', 'Edmund Lyndeck', 'Tonya Pinkins', 'Isiah Whitlock Jr.', 'Tibor Feldman', 'Jodi Benson', 'Matt Servitto', 'Christopher Maggi', 'Muriel Kuhn', 'Marilyn Sue Perry', 'John Rothman', 'Marlon Saunders', 'Paul Klementowicz', 'Michaela Conlin', 'Cathleen Trigg', ""Paige O'Hara"", 'Danny Mastrogiorgio', 'Canedy Knowles', 'Lillian Lifflander', 'Matte Osian', 'Judy Kuhn', 'Joseph Siravo', 'Margaret Travolta', 'Tony Machine', 'Jon McLaughlin', 'Helen Stenborg', 'Anita Keal', 'Kater Gordon', 'Raymond W. Abbiw', 'Veronica Archul', 'Jonathan Arons', 'Simone Assboeck', 'Dimitre Atanasov', 'Judy Ayres', 'Kathleen Banovich', 'Barbara G. Barclay', 'Nicole Barth', 'Margery Beddow', 'Carol Bentley', 'Tom Berklund', 'Heather Berman', 'Tetyana Bilych', 'Timothy Bish', 'Corey Bradley', 'Lee Van Bradley', 'Adrian Brian', 'Lou Brock', 'Vitalii Buza', 'Michelle Aguilar Camaya', 'Oscar Campisi', 'Christa Capone', 'Iresol Cardona', 'Marcus Choi', 'Olivia Cipolla', 'Angel G. Clemente', 'Jason Colacino', 'Keltie Knight', 'Rachel B. Coppola', 'Kristine Covillo', 'Leonard J. Coyne', 'Evan Crook', 'James Cunneen', 'Paul Daggett', 'Jennifer Thomas Damalas', 'Bill Davies', 'Richard Diaz', 'James Du Chateau', 'Joey Dudding', 'Hilary Elliot', 'Harvey Evans', 'Charles Fetta', 'Michael Fielder', 'Paul Frolov', 'Linda Gammon', 'Gabriela Garcia', 'Ingrid Gartner', 'Charles Goddertz', 'Aaron Hamilton', 'Jules Helm', 'Barbara Hendel Coyne', 'Khetanya Henderson', 'Cynthia Henn', 'Seymour Hewitt', 'Bonnie Herbert Diaz', 'Betina Hershey', 'Eric Hoffman', 'Linda Rose Iennaco', 'Ruth Taveras', 'Marc Inniss', 'Joan Jaffe', 'Sydney James', 'Anna Kaiser', 'Violetta Klimczewska', 'Joseph Knebel', 'Joey Lauren Koch', 'Vicky Lambert', 'Jacey Lambros', 'Susan Lehman', 'Sarah Lewis', 'Kenneth Ley', 'George Marcy', 'Michelle Marmolejo', 'Natalie Mavor', 'Angelina McCoy', 'Richard McMurrich', 'Gilberto Melesio', 'Marina Micalizzi', 'Bert Michaels', 'Thomasz Mielnicki', 'Mayumi Miguel', 'Nell Mooney', 'Shannon Moore', 'Eric Neumann', 'Michelle Officer', 'Lance Olds', 'Adesola A. Osakalumi', 'Don Percassi', 'Jerry Petardi', 'Dawn Noel', 'Heather Gehring Plotkin', 'Donna Marie Portelli', 'Caity Quinn', 'Amir Raissi', 'Cristina Ram', 'Elizabeth Ramos', 'Kelvin Roche', 'Christopher Rodrick', 'Raymond Rodriguez', 'Luis Salgado', 'Alys Schaefer', 'Tony Scheppler', 'Barbara Schmidt', 'Paul J. Schmidt', 'Thomas Schneider', 'Nia-Imani E. Scriven', 'Carlos Sierra Lopez', 'Solomon Singer', 'Patrick Taverna', 'Mic Thompson', 'Rafael Tillis', 'Latonya Tolbert', 'Rainer Trubere', 'Regine Urbach', 'Vanessa Villalobos', 'Snejana Urbin', 'Robert Vance', 'Mayte Vicens', 'Kim Villanueva', 'Dan Weltner', 'Isabella Zubor', 'Jeff Watson', 'Rolando Morales-Matos', 'Iba Fitzgerald', 'Fatima Alonzo', 'Austin Applegate', 'Lothar Beer', 'Jessica Blandino', 'Joeann Boyd', 'Alex Blake', 'Richard Branker', 'Tyrone Brown', 'Augustin Bustamante', 'Leonel Cruz', 'Afferina English', 'Robert Fabien', 'Shandra Fallen', 'Raphael Gibbs', 'James E. Graseck', 'Pinkney Grissom', 'Kenneth Harry', 'Michael Hashim', 'Desmond Hill', 'Amelia Hoy', 'Ferdinand Huber', ""Tony 'Machine' Krasinski"", 'Renita Leonce', 'Alexander Mattis', 'Nakima McEachern', 'Frank Miroddi', 'Susan Mitchell', 'Ralph Nader', 'Sandra Park', 'Jose Pinto', 'Carlina Ramirez', 'Ángel Ramos', 'Raymond Ramos', 'Russell Ramos', 'Tashawna Reid', 'Eganam Segbefia', 'Carl Slater', 'Harvey Thompson', 'Leslie Torres', 'Donnell Tribble', 'Tony Ventura', 'Lisa Washinton', 'Kevin Patrick Wright', 'Wilbur Pauley', 'Ev Depaolis', 'Tara Stiles', 'Tex Allen', 'Emanuele Ancorini', 'James Balsamo', 'AJ Billions', 'Robert Bizik', 'Matt Brockman', 'Peter Conboy', 'Tom Coughlin', 'Dono Cunningham', 'Elli', 'Eddie Eniel', 'John Farrer', 'Nicky Figueredo', 'Roy William Gardner', 'Thelma Gutiérrez', 'Hristo Hristov', 'Erica Huang', 'Edward M. Kelahan', 'Katharine Leonard', 'Racheline Maltese', 'Alicia Rachel Marek', 'Keith Moyer', 'Loukas Papas', 'Vincent Petrosini', 'Shannan Leigh Reeve', 'Robert Sciglimpaglia', 'Paul Thornton', 'Gerrold Vincent', 'Bill Walters', 'Steven Weisz', 'Gail Yudain', 'Ted Yudain']"
One Hundred and One Dalmatians,1961,Clyde Geronimi,82,"['Rod Taylor', ""J. Pat O'Malley"", 'Betty Lou Gerson', 'Martha Wentworth', 'Ben Wright', 'Cate Bauer', 'David Frankham', 'Frederick Worlock', 'Lisa Davis', 'Tom Conway', 'Tudor Owen', 'George Pelling', 'Ramsay Hill', 'Sylvia Marriott', 'Queenie Leonard', 'Marjorie Bennett', 'Mickey Maga', 'Barbara Beaird', 'Mimi Gibson', 'Sandra Abbott', 'Thurl Ravenscroft', 'Bill Lee', 'Max Smith', 'Bob Stevens', 'Paul Wexler', 'Mary Wickes', 'Barbara Luddy', 'Lisa Daniels', 'Helene Stanley', 'Don Barclay', 'Dal McKennon', 'Jeanne Bruns', 'Lucille Bliss', 'Paul Frees']"
Hocus Pocus,1993,Kenny Ortega,96,"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw', 'Tobias Jelinek', 'Larry Bagby', 'Doug Jones', 'Amanda Shepherd', 'Stephanie Faracy', 'Charles Rocket', 'Karyn Malchus', 'Sean Murray', 'Steve Voboril', 'Norbert Weisser', 'Kathleen Freeman', 'D.A. Pauley', 'Ezra Sutton', 'Don Yesso', 'Michael McGrady', 'Leigh Hamilton', 'Devon Reeves', 'Joseph Malone', 'Jordan Redmond', 'Frank Del Boccio', 'Jeff Neubauer', 'Teda Bracci', 'Peggy Holmes', 'Jason Marsden', 'Garry Marshall', 'Penny Marshall']"
Batman Forever,1995,Joel Schumacher,121,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell"", 'Michael Gough', 'Pat Hingle', 'Drew Barrymore', 'Debi Mazar', 'Elizabeth Sanders', 'René Auberjonois', 'Joe Grifasi', 'Philip Moon', 'Jessica Tuck', 'Dennis Paladino', 'Kimberly Scott', 'Michael Paul Chan', 'Jon Favreau', 'Greg Lauren', 'Ramsey Ellis', 'Michael Scranton', 'Eileen Seeley', 'David U. Hodges', 'Jack Betts', 'Tim Jackson', 'Daniel Reichert', 'Glory Fioramonti', 'Larry A. Lee', 'Bruce Roberts', 'George Wallace', 'Bob Zmuda', 'Rebecca Budig', 'Don Wilson', 'Sydney D. Minckler', 'Maxine Jones', 'Terry Ellis', 'Cindy Herron', 'Dawn Robinson', 'Gary Kasper', 'Amanda Trees', 'Andrea Fletcher', 'Ria Coyne', 'Jed Curtis', 'William Mesnik', 'Marga Gómez', 'Kelly Vaughn', 'John Fink', 'Noby Arden', 'Marlene Bologna', 'Danny Castle', 'Troy S. Wolfe', 'Christopher Caso', 'Gary Clayton', 'Oscar Dillon', 'Keith Graham', 'Kevin Grevioux', 'Mark Hicks', 'Corey Jordan', 'Randy Lamb', 'Maurice Lamont', 'Sidney S. Liufau', 'Brad Martin', 'Deron McBee', 'Mario Mugavero', 'Joey Nelson', 'Jim Palmer', 'Robert Powell', 'Peewee Piemonte', 'Peter Radon', 'François Rodrigue', 'Joe Sabatino', 'Mike Sabatino', 'Ofer Samra', 'Matt Sigloch', 'Mike Smith', 'Kimberly Auslander', 'Ed Begley Jr.', 'George Cheung', 'Erik Cord', 'Scott Cranford', 'Michael Dane', 'Gunnel Eriksson', 'Holiday Freeman', 'Nancy Gassner-Clayton', 'Mitch Gaylord', 'Timothy Guest', 'Jenny Inge Devaney', 'Bob Kane', 'Joe Kent', 'Patrick Leahy', 'Susan Lewis', 'Marshall Dancing Elk Lucas', 'Gorja Max', 'Bob McGovern', 'Ve Neill', 'Velvet Rhodes', 'Dana Walsh', 'Harry Williams Jr.', 'Ilona Wilson']"
Anchorman 2: The Legend Continues,2013,Adam McKay,119,"['Will Ferrell', 'Steve Carell', 'Paul Rudd', 'David Koechner', 'Christina Applegate', 'Dylan Baker', 'Meagan Good', 'Harrison Ford', 'James Marsden', 'Greg Kinnear', 'Judah Nelson', 'Josh Lawson', 'Kristen Wiig', 'Fred Willard', 'Chris Parnell', 'Bill Kurtis', 'June Diane Raphael', 'Tom Clark', 'Drake', 'Eliza Coupe', 'Brian F. Durkin', 'Zoe Myers', 'Clark Sarullo', 'Matthew Cornwell', 'Dane Davenport', 'Dan Triandiflou', 'David Marshall Silverman', 'Jayson Warner Smith', 'David Dwyer', 'Courtney Patterson', 'Kelly Tippens', 'Jon Hayden', 'Ron Prather', 'Gary Weeks', 'L. Warren Young', 'Darlene French', 'E. Roger Mitchell', 'Michael Menapace', 'Patricia French', 'Paula Pell', 'Wilbur Fitzgerald', 'Karen Beyer', 'Brian Steele', 'Sacha Baron Cohen', 'Marion Cotillard', 'Will Smith', 'Sarah E. Spencer', 'Kirsten Dunst', 'Jim Carrey', 'Steve Coulter', 'Tina Fey', 'Kimberly Dawn Guerrero', 'Liam Neeson', 'Amy Poehler', 'John C. Reilly', 'Richard Saxton', 'Lori Beth Sikes', 'Vince Vaughn', 'Kanye West', 'Nickolas Wolf', 'Paul Schneider', 'William Tokarsky']"
Clue,1985,Jonathan Lynn,94,"['Tim Curry', 'Eileen Brennan', 'Madeline Kahn', 'Christopher Lloyd', 'Michael McKean', 'Martin Mull', 'Lesley Ann Warren', 'Colleen Camp', 'Lee Ving', 'Bill Henderson', 'Jane Wiedlin', 'Jeffrey Kramer', 'Kellye Nakahara', 'Will Nye', 'Rick Goldman', 'Don Camp', 'Howard Hesseman']"
Spaceballs,1987,Mel Brooks,96,"['Bill Pullman', 'Rick Moranis', 'Mel Brooks', 'Daphne Zuniga', 'John Candy', 'George Wyner', 'Joan Rivers', 'Dick Van Patten', 'Michael Winslow', 'Lorene Yarnell Jansson', 'John Hurt', 'Ed Gale', 'Stephen Tobolowsky', 'Sandy Helberg', 'Dom DeLuise', 'Rick Ducommun', 'Rudy De Luca', 'Ken Olfson', 'Denise Gallup', 'Dian Gallup', 'Jim Jackman', 'Jim J. Bullock', 'Sal Viscuso', 'Ronny Graham', 'Brenda Strong', 'Leslie Bevis', 'Tony Griffin', 'Tim Russ', 'Phil Hartman', 'Tress MacNeille', 'Corey Burton', 'Michael York', 'Tony Cox']"
The Addams Family,1991,Barry Sonnenfeld,102,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci', 'Carel Struycken', 'Dan Hedaya', 'Jimmy Workman', 'Elizabeth Wilson', 'Dana Ivey', 'Judith Malina', 'Paul Benedict', 'Christopher Hart', 'John Franklin', 'Tony Azito', 'Mercedes McNab', 'Douglas Brian Martin', 'Steven M. Martin', 'Maureen Sue Levin', 'Darlene Levin', 'Allegra Kent', 'Richard Korthaze', 'Ryan Holihan', 'Kate McGregor-Stewart', 'Lela Ivey', 'Whit Hertford', 'Patty Maloney', 'Victoria Hall', 'Jimmy Ross', 'Ryan Anderson', 'Daniel Pikus', 'Michael Hittesdorf', 'Valerie C. Walker', 'Joe Zimmerman', 'Steve Welles', 'Eugene Jackson', 'Richard Tanner', 'Marc Shaiman', 'Jonathan Wee', 'Owen Morse', 'Sally Jessy Raphael', 'Benny Wills', 'Lauren Walker']"
Bee Movie,2007,Simon J. Smith,91,"['Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton', 'John Goodman', 'Chris Rock', 'Kathy Bates', 'Barry Levinson', 'Larry King', 'Ray Liotta', 'Sting', 'Oprah Winfrey', 'Larry Miller', 'Megan Mullally', 'Rip Torn', 'Michael Richards', 'Mario Joyner', 'Jim Cummings', 'Tom Papa', 'Andy Robin', 'David  Moses Pimentel', 'Chuck Martin', 'Conrad Vernon', 'David Herman', 'Carol Leifer', 'Jeff Altman', 'Brian Hopkins', 'Tress MacNeille', 'Nathan D. Morrissey', 'Olivia Mattingly', 'Simon J. Smith', 'Geoff Witcher', 'John DiMaggio', 'Barry Marder', 'Sean Bishop']"
Wayne's World,1992,Penelope Spheeris,95,"['Mike Myers', 'Dana Carvey', 'Rob Lowe', 'Tia Carrere', 'Lara Flynn Boyle', 'Donna Dixon', 'Chris Farley', 'Brian Doyle-Murray', 'Michael DeLuise', 'Meat Loaf', 'Robert Patrick', 'Alice Cooper', ""Ed O'Neill"", 'Colleen Camp', 'Lee Tergesen', 'Kurt Fuller', 'Mike Hagerty', 'Charles Noland', 'Ione Skye', 'Frank DiLeo', 'Robin Ruzan', 'Frederick Coffin', 'Carmen Filpi']"
Adventureland,2009,Greg Mottola,107,"['Jesse Eisenberg', 'Kristen Stewart', 'Martin Starr', 'Kristen Wiig', 'Bill Hader', 'Ryan Reynolds', 'Margarita Levieva', 'Jack Gilpin', 'Josh Pais', 'Wendie Malick', 'Mary Birdsong', 'Matt Bush', 'Paige Howard', 'Dan Bittner', 'Barret Hackney', 'Michael Zegen', 'Kimisha Renee Davis', 'Vanessa Hope', 'Kelsey Ford', 'Ryan McFarland', 'Moe Slinger', 'Todd Cioppa', 'Jesse Slinger', 'Jack Baldwin', 'Stephen Mast', 'Adam Kroloff', 'Kevin Breznahan', 'Marc Grapey', 'Andrew Ransom', 'Joe Sanderson', 'Cliff Chien', 'Russell Steinberg', 'Rob Orr', 'Eric Schaeffer', 'Gennaro DiSilvio', 'Alexis Ferrante', 'Joe Pawlenko', 'Zachary Palmer', 'Declan Baldwin', 'Ian Harding', 'Ashtin Petrella', 'Amy Landis', 'Janine Viola', 'Alana Hixson', 'Erin Cappiccie', 'Lisa Lamendola']"
Cinderella,1950,Clyde Geronimi,74,"['Ilene Woods', 'Eleanor Audley', 'Verna Felton', 'Claire Du Brey', 'Rhoda Williams', 'James MacDonald', 'Helene Stanley', 'Luis van Rooten', 'Don Barclay', 'Lucille Bliss', 'Jeffrey Stone', 'Mike Douglas', 'William Phipps', 'Earl Keen', 'John Woodbury', 'Lucille Williams', 'June Foray', 'Thurl Ravenscroft', 'Clint McCauley', 'June Sullivan', 'Helen Seibert', 'Marion Darlington', 'Betty Lou Gerson']"
Saving Mr. Banks,2013,John Lee Hancock,125,"['Emma Thompson', 'Tom Hanks', 'Colin Farrell', 'Paul Giamatti', 'Ruth Wilson', 'Jason Schwartzman', 'Bradley Whitford', 'Annie Rose Buckley', 'B.J. Novak', 'Kathy Baker', 'Lily Bigham', 'Melanie Paxson', 'Andy McPhee', 'Rachel Griffiths', 'Ronan Vibert', 'Fuschia Sumner', 'David Ross Paterson', 'Laura Waddell', 'Barbara Keegan', 'Steven Cabral', 'Jerry Hauck', 'Michelle Arthur', 'Michael Swinehart', 'Bob Rusch', 'Paul Tassone', 'Luke Baines', 'Demetrius Grosse', ""Kim D'Armond"", 'Mia Serafino', 'Claire Bocking', 'Dendrie Taylor', 'Kristopher Kyer', 'Victoria Summer', 'Jaeden Bettencourt']"
Scooby-Doo,2002,Raja Gosnell,88,"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard', 'Linda Cardellini', 'Rowan Atkinson', 'Miguel A. Núñez Jr.', 'Isla Fisher', 'Steven Grives', 'Charles Stan Frazier', 'Craig Bullock', 'Matthew Murphy Karges', 'Mark McGrath', 'Rodney Sheppard', 'Sam Greco', 'Charlie Cousins', 'Kristian Schmid', 'Nicholas Hope', 'Neil Fanning', 'Scott Innes', 'J.P. Manoux', 'Chris Cruickshanks', 'Alex Ruiz', 'Sheryl Benko', 'Rio Nugara', 'David Vallon', 'Troy MacKinder', 'Michala Banas', 'Holly Brisley', 'Robert Díaz', 'Remi Broadway', 'Martin Broome', 'Simone Dumbleton', 'Jonathan Coffey', 'Michael Caffery', 'Kyas Sherriff', 'Celeste Gosnell', 'Bradley Gosnell', 'Cayley Gosnell', 'Audrey Gosnell', 'Kurt Duval', 'Janis McGavin', 'Emily Gosnell', 'Marea Lambert Barker', 'Kym Jackson', 'Danielle Starkey', 'Andrew Bryniarski', 'Craig Behenna', 'Keith S. Bullock', 'Jess Harnell', 'Frank Welker', 'Pamela Anderson']"
Lady and the Tramp,1955,Clyde Geronimi,76,"['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson', 'Bill Baucom', 'Stan Freberg', 'Verna Felton', 'Alan Reed', 'George Givot', 'Dal McKennon', 'Lee Millar', 'Thurl Ravenscroft']"
Shark Tale,2004,Rob Letterman,90,"['Will Smith', 'Robert De Niro', 'Renée Zellweger', 'Jack Black', 'Angelina Jolie', 'Ziggy Marley', 'Martin Scorsese', 'David P. Smith', 'Doug E. Doug', 'Michael Imperioli', 'Vincent Pastore', 'Peter Falk', 'Katie Couric', 'Phil LaMarr', 'Shelley Morrison', 'David Soren', ""Bobb'e J. Thompson"", 'Kamali Minter', 'Emily Lyon Segan', 'Lenny Venito', 'Saverio Guerra', 'Mark Swift', 'James Madio', 'Frank Vincent', 'Joseph Siravo', 'Steve Alterman', 'Jenifer Lewis', 'Sean Bishop', 'James Ryan', 'Latifa Ouaou', 'David Yanover']"
Bao,2018,Domee Shi,8,"['Daniel Kailin', 'Sindy Lau', 'Sharmaine Yeoh', 'Tim Zhang']"
